timestamp,F_USS,L_USS,R_USS,L_ENCD,R_ENCD,L_ENCD_COV,R_ENCD_COV,HEAD
1754349998.6180217,27,16,9,0,0,0.0,0.0,331
1754349998.664751,27,16,9,0,0,0.0,0.0,330
1754349998.716343,27,16,9,0,0,0.0,0.0,331
1754349998.7693255,27,16,9,0,0,0.0,0.0,331
1754349998.8172665,27,16,9,0,0,0.0,0.0,330
1754349998.8801107,27,16,9,0,0,0.0,0.0,332
1754349998.930118,27,16,9,0,0,0.0,0.0,331
1754349998.979442,27,16,9,0,0,0.0,0.0,331
1754349999.029446,27,16,9,0,0,0.0,0.0,331
1754349999.0811481,27,16,9,0,0,0.0,0.0,330
1754349999.1311526,27,16,9,0,0,0.0,0.0,331
1754349999.1819425,27,16,9,0,0,0.0,0.0,331
1754349999.2319498,27,16,9,0,0,0.0,0.0,330
1754349999.282804,27,16,9,0,0,0.0,0.0,330
1754349999.3328116,27,16,9,0,0,0.0,0.0,331
1754349999.3828232,27,16,9,0,0,0.0,0.0,330
1754349999.4328258,27,16,9,0,0,0.0,0.0,331
1754349999.4828415,27,16,9,0,0,0.0,0.0,330
1754349999.5328546,27,16,9,0,0,0.0,0.0,330
1754349999.5828617,27,16,9,0,0,0.0,0.0,330
1754349999.632865,27,16,9,0,0,0.0,0.0,329
1754349999.6828716,27,16,9,0,0,0.0,0.0,329
1754349999.7328734,27,16,9,0,0,0.0,0.0,331
1754349999.7828853,27,16,9,0,0,0.0,0.0,330
1754349999.8328996,27,16,9,0,0,0.0,0.0,330
1754349999.882908,27,16,9,0,0,0.0,0.0,329
1754349999.9329226,27,16,9,0,0,0.0,0.0,330
1754349999.9829268,27,16,9,0,0,0.0,0.0,331
1754350000.032928,27,16,9,0,0,0.0,0.0,331
1754350000.0829308,27,16,9,0,0,0.0,0.0,330
1754350000.1329327,27,16,9,0,0,0.0,0.0,329
1754350000.1829426,27,16,9,0,0,0.0,0.0,331
1754350000.2329583,27,16,9,0,0,0.0,0.0,331
1754350000.2829654,27,16,9,0,0,0.0,0.0,330
1754350000.3329816,27,16,9,0,0,0.0,0.0,330
1754350000.382988,27,16,9,0,0,0.0,0.0,330
1754350000.432991,27,16,9,0,0,0.0,0.0,331
1754350000.4829905,27,16,9,0,0,0.0,0.0,331
1754350000.5330036,27,16,9,0,0,0.0,0.0,331
1754350000.5830073,27,16,9,0,0,0.0,0.0,331
1754350000.6330156,27,16,9,0,0,0.0,0.0,331
1754350000.6830256,27,16,9,0,0,0.0,0.0,330
1754350000.7330332,27,16,9,0,0,0.0,0.0,331
1754350000.7830405,27,16,9,0,0,0.0,0.0,331
1754350000.8330395,27,16,9,0,0,0.0,0.0,331
1754350000.8830535,27,16,9,0,0,0.0,0.0,331
1754350000.9330606,27,16,9,0,0,0.0,0.0,330
1754350000.9830654,27,16,9,0,0,0.0,0.0,331
1754350001.0330656,27,16,9,0,0,0.0,0.0,331
1754350001.0830784,27,16,9,0,0,0.0,0.0,331
1754350001.133087,27,16,9,0,0,0.0,0.0,331
1754350001.1831017,27,16,9,0,0,0.0,0.0,331
1754350001.2331111,27,16,9,0,0,0.0,0.0,330
1754350001.2831237,27,16,9,0,0,0.0,0.0,330
1754350001.33313,27,16,9,0,0,0.0,0.0,331
1754350001.38314,27,16,9,0,0,0.0,0.0,331
1754350001.4331472,27,16,9,0,0,0.0,0.0,331
1754350001.4831488,27,16,9,0,0,0.0,0.0,330
1754350001.5331643,27,16,9,0,0,0.0,0.0,331
1754350001.5831642,27,16,9,0,0,0.0,0.0,331
1754350001.633163,27,16,9,0,0,0.0,0.0,331
1754350001.6831672,27,16,9,0,0,0.0,0.0,331
1754350001.7331684,27,16,9,0,0,0.0,0.0,332
1754350001.7831826,27,16,9,0,0,0.0,0.0,332
1754350001.833189,27,16,9,0,0,0.0,0.0,332
1754350001.8832,27,16,9,0,0,0.0,0.0,332
1754350001.9331996,27,16,9,0,0,0.0,0.0,331
1754350001.9832041,27,16,9,0,0,0.0,0.0,331
1754350002.0332036,27,16,9,0,0,0.0,0.0,331
1754350002.0832076,27,16,9,0,0,0.0,0.0,331
1754350002.1332142,27,16,9,0,0,0.0,0.0,331
1754350002.1832213,27,16,9,0,0,0.0,0.0,331
1754350002.2332344,27,16,9,0,0,0.0,0.0,331
1754350002.2832465,27,16,9,0,0,0.0,0.0,331
1754350002.3332515,27,16,9,0,0,0.0,0.0,332
1754350002.3832705,27,16,9,0,0,0.0,0.0,332
1754350002.4332774,27,16,9,0,0,0.0,0.0,332
1754350002.483291,27,16,9,0,0,0.0,0.0,332
1754350002.5333047,27,16,9,0,0,0.0,0.0,331
1754350002.5833104,27,16,9,0,0,0.0,0.0,332
1754350002.633314,27,16,9,0,0,0.0,0.0,330
1754350002.6833198,27,16,9,0,0,0.0,0.0,331
1754350002.73332,27,16,9,0,0,0.0,0.0,331
1754350002.7833314,27,16,9,0,0,0.0,0.0,332
1754350002.83334,27,16,9,0,0,0.0,0.0,332
1754350002.883352,27,16,9,0,0,0.0,0.0,333
1754350002.9333584,27,16,9,0,0,0.0,0.0,331
1754350002.9833689,27,16,9,0,0,0.0,0.0,331
1754350003.0333698,27,16,9,0,0,0.0,0.0,332
1754350003.0833783,27,16,9,0,0,0.0,0.0,332
1754350003.133379,27,16,9,0,0,0.0,0.0,332
1754350003.183383,27,16,9,0,0,0.0,0.0,332
1754350003.2333832,27,16,9,0,0,0.0,0.0,332
1754350003.2833936,27,16,9,0,0,0.0,0.0,331
1754350003.3334043,27,16,9,0,0,0.0,0.0,331
1754350003.3834074,27,16,9,0,0,0.0,0.0,332
1754350003.4334219,27,16,9,0,0,0.0,0.0,332
1754350003.483432,27,16,9,0,0,0.0,0.0,332
1754350003.5334408,27,16,9,0,0,0.0,0.0,332
1754350003.5834455,27,16,9,0,0,0.0,0.0,332
1754350003.6334577,27,16,9,0,0,0.0,0.0,331
1754350003.683465,27,16,9,0,0,0.0,0.0,330
1754350003.7334704,27,16,9,0,0,0.0,0.0,331
1754350003.783481,27,16,9,0,0,0.0,0.0,331
1754350003.8335276,27,16,9,0,0,0.0,0.0,331
1754350003.8835325,27,16,9,0,0,0.0,0.0,331
1754350003.9335105,27,16,9,0,0,0.0,0.0,331
1754350003.9835236,27,16,9,0,0,0.0,0.0,331
1754350004.0335312,27,16,9,0,0,0.0,0.0,331
1754350004.0835352,27,16,9,0,0,0.0,0.0,331
1754350004.1335342,27,16,9,0,0,0.0,0.0,331
1754350004.1835487,27,16,9,0,0,0.0,0.0,331
1754350004.2335513,27,16,9,0,0,0.0,0.0,330
1754350004.283556,27,16,9,0,0,0.0,0.0,331
1754350004.3335657,27,16,9,0,0,0.0,0.0,331
1754350004.3835762,27,16,9,0,0,0.0,0.0,331
1754350004.4335902,27,16,9,0,0,0.0,0.0,331
1754350004.483595,27,16,9,0,0,0.0,0.0,331
1754350004.5336046,27,16,9,0,0,0.0,0.0,331
1754350004.5836158,27,16,9,0,0,0.0,0.0,331
1754350004.6336222,27,16,9,0,0,0.0,0.0,332
1754350004.6836293,27,16,9,0,0,0.0,0.0,331
1754350004.733637,27,16,9,0,0,0.0,0.0,331
1754350004.7836406,27,16,9,0,0,0.0,0.0,330
1754350004.8336465,27,16,9,0,0,0.0,0.0,330
1754350004.883654,27,16,9,0,0,0.0,0.0,330
1754350004.9336567,27,16,9,0,0,0.0,0.0,331
1754350004.9836652,27,16,9,0,0,0.0,0.0,330
1754350005.0336683,27,16,9,0,0,0.0,0.0,330
1754350005.0836885,27,16,9,0,0,0.0,0.0,331
1754350005.1336918,27,16,9,0,2,0.0,0.21429336762027215,332
1754350005.1837132,27,16,9,5,4,0.5309772104581271,0.4285867352405443,331
1754350005.2337072,27,16,9,11,8,1.1681498630078797,0.8571734704810886,331
1754350005.2837203,27,16,9,17,12,1.805322515557632,1.2857602057216329,331
1754350005.333727,27,16,9,22,18,2.3362997260157594,1.9286403085824493,331
1754350005.3837276,27,16,9,29,22,3.079667820657137,2.3572270438229936,332
1754350005.4337406,27,16,9,35,26,3.7168404732068896,2.7858137790635378,330
1754350005.483749,27,16,9,41,31,4.354013125756643,3.321547198114218,331
1754350005.5337582,27,16,9,45,34,4.778794894123144,3.6429872495446265,332
1754350005.5837655,27,16,9,52,38,5.522162988764522,4.071573984785171,333
1754350005.6337795,27,16,9,57,44,6.053140199222649,4.714454087645987,332
1754350005.683779,27,16,9,64,47,6.796508293864027,5.035894139076396,334
1754350005.7337868,27,16,9,70,53,7.433680946413779,5.678774241937212,331
1754350005.7838006,27,16,9,76,57,8.070853598963533,6.107360977177756,332
1754350005.8338068,27,16,9,82,63,8.708026251513285,6.750241080038573,330
1754350005.8838103,27,16,9,87,67,9.23900346197141,7.178827815279117,332
1754350005.9338183,27,16,9,94,71,9.98237155661279,7.607414550519661,332
1754350005.9838254,27,16,9,100,77,10.619544209162543,8.250294653380477,329
1754350006.033827,27,16,9,106,80,11.256716861712295,8.571734704810886,331
1754350006.083832,27,16,9,112,86,11.893889514262048,9.214614807671703,332
1754350006.13384,27,16,9,119,90,12.637257608903425,9.643201542912246,330
1754350006.183853,27,16,9,127,94,13.486821145636428,10.071788278152791,330
1754350006.2338562,27,16,9,132,98,14.017798356094556,10.500375013393334,331
1754350006.2838624,27,16,9,137,104,14.548775566552683,11.143255116254151,330
1754350006.3338728,27,16,9,143,107,15.185948219102436,11.46469516768456,329
