timestamp,F_USS,L_USS,R_USS,L_ENCD,R_ENCD,L_ENCD_COV,R_ENCD_COV,HEAD
1752974477.8095953,0,0,0,0,0,0.0,0.0,339
1752974477.8587542,0,0,0,0,0,0.0,0.0,340
1752974477.9063294,0,0,0,0,0,0.0,0.0,340
1752974477.9578,0,0,0,0,0,0.0,0.0,340
1752974478.0079508,0,0,0,0,0,0.0,0.0,340
1752974478.0564146,0,0,33,3,8,0.31858632627487626,0.8571734704810886,347
1752974478.1074011,0,0,33,3,12,0.31858632627487626,1.2857602057216329,356
1752974478.1575854,0,0,33,3,12,0.31858632627487626,1.2857602057216329,356
1752974478.2078557,0,0,22,4,18,0.42478176836650167,1.9286403085824493,1
1752974478.2571828,33,0,22,4,20,0.42478176836650167,2.1429336762027216,356
1752974478.3071957,33,0,21,4,24,0.42478176836650167,2.5715204114432657,359
1752974478.3572037,32,0,21,4,26,0.42478176836650167,2.7858137790635378,359
1752974478.407209,32,0,21,4,30,0.42478176836650167,3.2144005143040824,1
1752974478.4572124,32,0,21,4,32,0.42478176836650167,3.4286938819243544,4
1752974478.5072193,32,0,21,4,36,0.42478176836650167,3.8572806171648986,7
1752974478.5713348,32,0,21,5,41,0.5309772104581271,4.393014036215579,15
1752974478.6213398,32,0,21,5,41,0.5309772104581271,4.393014036215579,15
1752974478.6713436,22,0,21,5,43,0.5309772104581271,4.6073074038358515,15
1752974478.7213469,22,0,21,6,47,0.6371726525497525,5.035894139076396,8
1752974478.7713482,22,0,21,6,49,0.6371726525497525,5.250187506696667,13
1752974478.821366,22,0,21,8,52,0.8495635367330033,5.5716275581270756,15
1752974478.8713639,21,0,20,8,58,0.8495635367330033,6.214507660987892,19
1752974478.921373,21,0,20,8,58,0.8495635367330033,6.214507660987892,19
1752974478.9713826,21,0,20,8,61,0.8495635367330033,6.5359477124183005,19
1752974479.0213885,21,0,20,11,63,1.1681498630078797,6.750241080038573,27
1752974479.071402,21,0,19,11,67,1.1681498630078797,7.178827815279117,28
1752974479.1214077,21,0,19,11,69,1.1681498630078797,7.393121182899389,29
1752974479.1743178,21,0,19,11,77,1.1681498630078797,8.250294653380477,35
1752974479.2242875,21,0,19,11,77,1.1681498630078797,8.250294653380477,35
1752974479.2743056,21,0,19,14,79,1.486736189282756,8.46458802100075,39
1752974479.324308,21,0,19,14,81,1.486736189282756,8.678881388621022,38
1752974479.3743298,20,0,20,21,85,2.230104283924134,9.107468123861567,13
1752974479.4243238,20,0,20,35,86,3.7168404732068896,9.214614807671703,358
1752974479.474328,20,0,20,35,86,3.7168404732068896,9.214614807671703,358
1752974479.5243266,19,0,20,35,88,3.7168404732068896,9.428908175291975,44
1752974479.5743334,19,0,10,35,92,3.7168404732068896,9.85749491053252,61
1752974479.6243443,20,0,10,35,94,3.7168404732068896,10.071788278152791,60
1752974479.674364,19,23,9,37,98,3.9292313573901403,10.500375013393334,75
1752974479.7299938,19,23,9,37,101,3.9292313573901403,10.821815064823744,15
1752974479.7924826,19,23,9,37,101,3.9292313573901403,10.821815064823744,25
1752974479.8424814,19,23,9,37,101,3.9292313573901403,10.821815064823744,6
1752974479.8949845,19,23,9,37,101,3.9292313573901403,10.821815064823744,3
1752974479.9449835,19,23,9,37,101,3.9292313573901403,10.821815064823744,12
1752974479.9958465,19,23,9,37,101,3.9292313573901403,10.821815064823744,10
1752974480.0458512,19,24,9,37,101,3.9292313573901403,10.821815064823744,11
