timestamp,F_USS,L_USS,R_USS,L_ENCD,R_ENCD,L_ENCD_COV,R_ENCD_COV,HEAD
1754353250.2680507,109,0,31,0,0,0.0,0.0,183
1754353250.3227243,109,0,31,0,0,0.0,0.0,184
1754353250.3789976,109,0,32,0,0,0.0,0.0,184
1754353250.425016,28,0,31,0,0,0.0,0.0,185
1754353250.47375,109,0,31,0,0,0.0,0.0,185
1754353250.5242665,28,0,32,0,0,0.0,0.0,185
1754353250.5735736,28,0,31,0,0,0.0,0.0,184
1754353250.635543,109,0,32,0,0,0.0,0.0,185
1754353250.6855452,109,0,32,0,0,0.0,0.0,185
1754353250.7355447,109,0,31,0,0,0.0,0.0,184
1754353250.7855566,109,0,31,0,0,0.0,0.0,185
1754353250.8355668,109,0,31,0,0,0.0,0.0,184
1754353250.885578,109,0,31,0,0,0.0,0.0,185
1754353250.9355836,109,0,32,0,0,0.0,0.0,186
1754353250.9855905,109,0,32,0,0,0.0,0.0,184
1754353251.0355976,109,0,32,0,0,0.0,0.0,185
1754353251.0856133,109,0,32,0,0,0.0,0.0,185
1754353251.135905,109,0,32,0,0,0.0,0.0,185
1754353251.1859074,109,0,32,0,0,0.0,0.0,185
1754353251.235915,109,0,31,0,0,0.0,0.0,186
1754353251.2859192,109,0,32,0,0,0.0,0.0,185
1754353251.3359208,109,0,31,0,0,0.0,0.0,186
1754353251.3859289,109,0,32,0,0,0.0,0.0,186
1754353251.4359422,109,0,32,0,0,0.0,0.0,184
1754353251.4859543,109,0,32,0,0,0.0,0.0,184
1754353251.5359626,109,0,32,0,0,0.0,0.0,184
1754353251.585972,109,0,32,0,0,0.0,0.0,185
1754353251.635978,109,0,32,0,0,0.0,0.0,185
1754353251.6859796,109,0,31,0,0,0.0,0.0,184
1754353251.7359898,109,0,31,0,0,0.0,0.0,185
1754353251.7859938,109,0,32,0,0,0.0,0.0,184
1754353251.8360066,109,0,32,0,0,0.0,0.0,190
1754353251.8860102,109,0,32,2,2,0.21239088418325083,0.21429336762027215,196
1754353251.9360192,70,0,33,2,4,0.21239088418325083,0.4285867352405443,196
1754353251.9860265,32,0,34,4,10,0.42478176836650167,1.0714668381013608,207
1754353252.03603,32,0,34,4,10,0.42478176836650167,1.0714668381013608,207
1754353252.0860417,32,0,34,4,12,0.42478176836650167,1.2857602057216329,210
1754353252.1360474,31,0,34,6,14,0.6371726525497525,1.5000535733419051,214
1754353252.1860514,30,0,34,6,20,0.6371726525497525,2.1429336762027216,216
1754353252.236059,30,0,34,6,20,0.6371726525497525,2.1429336762027216,216
1754353252.2860684,30,111,34,8,24,0.8495635367330033,2.5715204114432657,222
1754353252.3360686,30,111,34,10,26,1.0619544209162541,2.7858137790635378,228
1754353252.386071,30,111,34,10,28,1.0619544209162541,3.0001071466838103,222
1754353252.4360776,30,111,34,10,30,1.0619544209162541,3.2144005143040824,225
1754353252.4860795,30,111,34,10,30,1.0619544209162541,3.2144005143040824,225
1754353252.536084,30,111,34,10,30,1.0619544209162541,3.2144005143040824,223
1754353252.5860965,30,111,34,10,45,1.0619544209162541,4.821600771456123,224
1754353252.6361003,30,111,34,10,45,1.0619544209162541,4.821600771456123,224
1754353252.6861084,30,111,34,10,45,1.0619544209162541,4.821600771456123,224
1754353252.7361157,30,111,34,10,45,1.0619544209162541,4.821600771456123,223
1754353252.7861261,30,111,34,10,45,1.0619544209162541,4.821600771456123,223
1754353252.8361335,30,111,34,10,45,1.0619544209162541,4.821600771456123,224
1754353252.8861458,30,111,34,10,45,1.0619544209162541,4.821600771456123,223
1754353252.9361558,30,111,34,10,45,1.0619544209162541,4.821600771456123,225
1754353252.9861588,30,111,34,10,45,1.0619544209162541,4.821600771456123,225
1754353253.0361822,30,111,34,10,45,1.0619544209162541,4.821600771456123,225
1754353253.0861847,30,111,34,10,45,1.0619544209162541,4.821600771456123,226
1754353253.1361897,30,111,34,10,45,1.0619544209162541,4.821600771456123,224
