timestamp,F_USS,L_USS,R_USS,L_ENCD,R_ENCD,L_ENCD_COV,R_ENCD_COV,HEAD
1754351976.5296297,18,78,12,0,0,0.0,0.0,74
1754351976.579538,18,78,12,0,0,0.0,0.0,74
1754351976.6332529,20,78,12,0,0,0.0,0.0,72
1754351976.6820853,14,79,12,0,0,0.0,0.0,73
1754351976.7329175,14,79,12,0,0,0.0,0.0,72
1754351976.7806048,15,79,12,0,0,0.0,0.0,73
1754351976.8306077,18,79,12,0,0,0.0,0.0,72
1754351976.8806171,18,79,12,0,0,0.0,0.0,73
1754351976.9306254,18,79,12,0,0,0.0,0.0,73
1754351976.9806323,18,79,12,0,0,0.0,0.0,74
1754351977.0306504,18,79,12,0,0,0.0,0.0,72
1754351977.0806475,18,79,12,0,0,0.0,0.0,72
1754351977.1306581,18,79,12,0,0,0.0,0.0,72
1754351977.1806705,18,79,12,0,0,0.0,0.0,72
1754351977.2306828,18,79,12,0,0,0.0,0.0,71
1754351977.2806861,18,79,12,0,0,0.0,0.0,72
1754351977.3307023,18,79,12,0,0,0.0,0.0,73
1754351977.380704,15,79,12,0,0,0.0,0.0,72
1754351977.4307134,18,78,12,0,0,0.0,0.0,73
1754351977.4807212,18,79,12,0,0,0.0,0.0,72
1754351977.5307333,14,79,12,0,0,0.0,0.0,72
1754351977.580745,14,79,12,0,0,0.0,0.0,71
1754351977.6307511,14,79,12,0,0,0.0,0.0,71
1754351977.680758,18,79,12,0,0,0.0,0.0,71
1754351977.7307625,18,78,12,0,0,0.0,0.0,71
1754351977.780767,18,78,12,0,0,0.0,0.0,73
1754351977.8307827,15,78,12,0,0,0.0,0.0,73
1754351977.8807871,15,78,12,0,0,0.0,0.0,73
1754351977.93079,15,78,12,0,0,0.0,0.0,73
1754351977.9808009,18,78,12,0,0,0.0,0.0,73
1754351978.0308075,18,79,12,0,0,0.0,0.0,73
1754351978.0808153,18,78,12,0,0,0.0,0.0,73
1754351978.1308281,18,78,12,0,0,0.0,0.0,72
1754351978.18084,18,79,12,0,0,0.0,0.0,73
1754351978.2308433,18,79,12,0,0,0.0,0.0,73
1754351978.2808487,18,79,12,0,0,0.0,0.0,73
1754351978.3308597,18,78,12,0,0,0.0,0.0,73
1754351978.3808668,18,79,12,0,0,0.0,0.0,72
1754351978.43087,18,79,12,0,0,0.0,0.0,74
1754351978.4808798,18,78,12,0,0,0.0,0.0,72
1754351978.5308807,18,78,12,0,0,0.0,0.0,72
1754351978.5808892,18,78,12,0,0,0.0,0.0,72
1754351978.6308916,18,79,12,0,0,0.0,0.0,72
1754351978.6808934,18,78,12,0,0,0.0,0.0,74
1754351978.7309008,18,78,12,0,0,0.0,0.0,73
1754351978.780912,18,78,12,0,0,0.0,0.0,73
1754351978.830914,18,79,12,0,0,0.0,0.0,73
1754351978.8809197,18,77,12,0,0,0.0,0.0,73
1754351978.9309328,18,78,12,0,0,0.0,0.0,73
1754351978.9809399,18,78,12,0,0,0.0,0.0,73
1754351979.0309665,18,78,12,0,0,0.0,0.0,73
1754351979.0809696,18,78,12,0,0,0.0,0.0,73
1754351979.1309764,15,78,12,0,0,0.0,0.0,72
1754351979.1825938,15,77,12,0,0,0.0,0.0,73
1754351979.2325988,15,77,12,0,0,0.0,0.0,73
1754351979.282612,18,78,12,0,0,0.0,0.0,75
1754351979.3326113,18,79,12,0,0,0.0,0.0,74
1754351979.3826263,18,79,12,0,0,0.0,0.0,74
1754351979.432639,18,78,12,0,0,0.0,0.0,74
1754351979.5040326,18,78,12,0,0,0.0,0.0,73
1754351979.5540435,18,77,12,0,0,0.0,0.0,74
1754351979.604866,18,77,12,0,0,0.0,0.0,74
1754351979.6548731,18,77,12,0,0,0.0,0.0,73
1754351979.7048862,18,77,12,0,0,0.0,0.0,74
1754351979.7548964,18,77,12,0,0,0.0,0.0,73
1754351979.8049016,18,77,12,0,0,0.0,0.0,73
1754351979.8549128,18,77,12,0,0,0.0,0.0,73
1754351979.9049127,18,77,12,0,0,0.0,0.0,73
1754351979.9549177,18,77,12,0,0,0.0,0.0,73
1754351980.0049222,15,77,12,0,0,0.0,0.0,74
1754351980.054931,18,77,12,0,0,0.0,0.0,74
1754351980.1049433,14,77,12,0,0,0.0,0.0,74
1754351980.1549523,18,77,12,0,0,0.0,0.0,74
1754351980.204963,14,77,12,0,0,0.0,0.0,75
1754351980.2549696,18,76,12,0,0,0.0,0.0,74
1754351980.304983,18,79,12,0,0,0.0,0.0,75
1754351980.3549886,14,79,12,0,0,0.0,0.0,75
1754351980.404988,14,77,12,0,0,0.0,0.0,75
1754351980.4549942,18,77,12,0,0,0.0,0.0,73
1754351980.505005,18,77,12,0,0,0.0,0.0,74
1754351980.5550168,20,78,12,0,0,0.0,0.0,72
1754351980.605028,18,79,12,0,0,0.0,0.0,74
1754351980.6550376,14,79,12,0,0,0.0,0.0,75
1754351980.7050498,18,79,12,0,0,0.0,0.0,73
1754351980.755062,14,79,12,0,0,0.0,0.0,73
1754351980.8050613,14,78,12,0,0,0.0,0.0,75
1754351980.8550675,18,79,12,0,0,0.0,0.0,74
